date,open,high,low,close,volume
2023-01-01,30299.49859591489,30633.126708582622,30026.530140095838,30329.82842433923,21281.38290285226
2023-01-02,30246.058496934344,30579.098180083773,29973.57148344845,30276.33483176611,17097.58175118891
2023-01-03,30671.0633780417,31008.782794616734,30394.747491753038,30701.765143184886,40024.59006563433
2023-01-04,31651.33241915438,31999.84558893486,31366.185280243077,31683.015434588968,42273.38957069056
2023-01-05,31534.972837196467,31882.204770338773,31250.87398280731,31566.53937657304,49620.205680026935
2023-01-06,31419.051343808573,31765.006864110772,31135.996827197683,31450.501845654228,26504.70707645706
2023-01-07,32459.67974621449,32817.09363731395,32167.250198951297,32492.171918132623,24880.723431711325
2023-01-08,32994.71478189166,33358.01994966023,32697.46509917191,33027.74252441607,41056.51842967987
2023-01-09,32719.063928940584,33079.33390213212,32424.29758723842,32751.81574468527,23632.141610120714
2023-01-10,33109.130943740056,33473.69594912659,32810.85048478744,33142.273216957015,47230.293024142586
2023-01-11,32836.50158443723,33198.06466494655,32540.6772458387,32869.370955392624,44336.51007372047
2023-01-12,32564.61126552334,32923.18055873732,32271.236389257367,32597.20847399734,27159.761095000733
2023-01-13,32755.32027956769,33115.9894718352,32460.22730407609,32788.108387955646,40034.84271165989
2023-01-14,31557.137615756692,31904.61360551978,31272.839078677804,31588.72634209879,40181.71496338729
2023-01-15,30517.535066664845,30853.563981312804,30242.602318316513,30548.083149814658,14124.954753437305
2023-01-16,30206.45635266268,30539.059976165474,29934.326115251308,30236.69304570839,46102.11626718267
2023-01-17,29630.34679307808,29956.606867876737,29363.406731879175,29660.006799877956,30210.094897914285
2023-01-18,29846.99044936858,30175.63598985212,29578.09864351841,29876.867316685264,43058.29864430967
2023-01-19,29339.171393290046,29662.225332555503,29074.854533891037,29368.53993322327,22801.98404122447
2023-01-20,28550.58587056359,28864.956685955185,28293.373385243198,28579.16503559919,45820.92913984802
2023-01-21,29429.289859280234,29753.336093967006,29164.16112180924,29458.748607888123,25568.067149366525
